studyName,Island,Colony,Site Number,Nest Number,Egg 1 Lay Date,Egg 2 Lay Date,Egg 1 Loss Date,Egg 2 Loss Date,Chick 1 Hatch Date,Chick 2 Hatch Date,Chick 1 Loss Date,Chick 2 Loss Date,Chick 1 Creche Date,Chick 2 Creche Date,Notes
PAL9192,HUM,2,1,1,44,47,0,0,79,80,0,0,107,107,NULL
PAL9192,HUM,2,1,2,49,52,0,0,85,87,0,0,111,111,NULL
PAL9192,HUM,2,1,3,46,49,0,0,82,83,0,0,107,107,NULL
PAL9192,HUM,2,1,4,49,52,0,0,85,86,0,0,111,114,NULL
PAL9192,HUM,2,1,5,45,48,0,0,79,80,0,0,111,112,NULL
PAL9192,HUM,2,2,1,0,0,0,0,0,0,0,0,0,0,NULL
PAL9192,HUM,2,2,2,0,0,0,0,0,0,0,0,0,0,NULL
PAL9192,HUM,2,2,3,48,51,0,0,87,0,93,0,0,0,NULL
PAL9192,HUM,2,2,4,46,49,0,0,0,0,0,0,0,0,NULL
PAL9192,HUM,2,2,5,0,0,0,0,0,0,0,0,0,0,NULL
PAL9192,HUM,2,3,1,51,54,0,0,88,90,0,0,116,118,NULL
PAL9192,HUM,2,3,2,46,49,0,0,83,83,0,0,111,114,NULL
PAL9192,HUM,2,3,3,48,51,0,0,82,83,0,0,109,112,NULL
PAL9192,HUM,2,3,4,48,51,0,0,85,85,0,0,111,114,NULL
PAL9192,HUM,2,3,5,50,53,0,92,87,0,0,0,112,0,NULL
PAL9192,HUM,2,4,1,49,52,0,0,86,86,0,0,116,117,NULL
PAL9192,HUM,2,4,2,49,52,0,0,86,89,0,0,116,117,NULL
PAL9192,HUM,2,4,3,49,52,0,999,85,0,0,0,116,0,NULL
PAL9192,HUM,2,4,4,50,53,0,0,87,88,0,0,111,112,NULL
PAL9192,HUM,2,4,5,53,56,0,93,90,0,0,0,117,0,NULL
PAL9192,HUM,2,5,1,53,56,0,0,90,90,0,0,116,118,NULL
PAL9192,HUM,2,5,2,54,57,0,63,91,0,0,0,117,0,NULL
PAL9192,HUM,2,5,3,43,46,0,0,80,82,0,83,117,0,NULL
PAL9192,HUM,2,5,4,46,49,0,0,82,83,0,97,117,0,NULL
PAL9192,HUM,2,5,5,49,52,0,0,88,89,0,0,116,118,NULL
PAL9192,HUM,2,6,1,54,57,59,59,0,0,0,0,0,0,NULL
PAL9192,HUM,2,6,2,44,47,0,0,81,81,0,104,116,0,NULL
PAL9192,HUM,2,6,3,46,49,0,0,81,82,0,0,113,115,NULL
PAL9192,HUM,2,6,4,43,46,0,49,85,0,0,0,118,0,NULL
PAL9192,HUM,2,6,5,48,51,0,0,85,86,0,0,113,113,NULL
PAL9192,HUM,2,7,1,46,49,0,0,83,83,0,85,120,0,NULL
PAL9192,HUM,2,7,2,46,49,0,0,83,83,0,0,107,109,NULL
PAL9192,HUM,2,7,3,46,49,0,0,83,86,0,0,109,110,NULL
PAL9192,HUM,2,7,4,47,50,0,999,83,0,0,0,109,0,NULL
PAL9192,HUM,2,7,5,44,47,0,0,81,82,0,0,109,109,NULL
PAL9192,HUM,2,8,1,45,48,0,0,81,81,0,82,111,0,NULL
PAL9192,HUM,2,8,2,47,50,0,0,84,86,0,0,108,109,NULL
PAL9192,HUM,2,8,3,46,49,0,0,86,87,0,0,112,113,NULL
PAL9192,HUM,2,8,4,43,46,0,0,81,81,0,0,112,112,NULL
PAL9192,HUM,2,8,5,44,47,0,0,81,82,0,0,111,111,NULL
PAL9192,HUM,2,9,1,44,47,0,0,0,0,0,0,0,0,NULL
PAL9192,HUM,2,9,2,46,49,0,0,0,0,0,0,0,0,NULL
PAL9192,HUM,2,9,3,43,46,0,0,0,0,0,0,0,0,NULL
PAL9192,HUM,2,9,4,43,46,0,0,0,0,0,0,0,0,NULL
PAL9192,HUM,2,9,5,42,45,0,0,0,0,0,0,0,0,NULL
PAL9192,HUM,2,10,1,52,55,0,57,88,0,111,0,0,0,NULL
PAL9192,HUM,2,10,2,52,55,87,87,0,0,0,0,0,0,NULL
PAL9192,HUM,2,10,3,52,55,0,0,89,89,0,0,113,115,NULL
PAL9192,HUM,2,10,4,45,48,0,0,83,85,0,0,116,119,NULL
PAL9192,HUM,2,10,5,53,56,0,0,90,92,0,0,116,119,NULL
PAL9192,HUM,2,10,6,48,51,0,0,85,87,0,0,112,113,NULL
PAL9192,HUM,2.2,1,1,52,55,0,0,89,89,0,0,116,118,NULL
PAL9192,HUM,2.2,1,2,53,56,0,0,90,91,0,0,116,118,NULL
PAL9192,HUM,2.2,1,3,52,55,0,0,89,89,0,0,117,119,NULL
PAL9192,HUM,2.2,1,4,52,55,63,63,0,0,0,0,0,0,NULL
PAL9192,HUM,2.2,1,5,47,50,0,999,86,0,0,0,119,0,NULL
PAL9192,HUM,3,1,1,52,55,0,0,89,91,0,0,116,117,NULL
PAL9192,HUM,3,1,2,49,52,107,107,0,0,0,0,0,0,NULL
PAL9192,HUM,3,1,3,46,49,0,108,85,0,0,0,116,0,NULL
PAL9192,HUM,3,1,4,51,54,0,0,88,90,0,0,118,120,NULL
PAL9192,HUM,3,1,5,51,54,0,0,88,88,0,0,118,120,NULL
PAL9192,HUM,3,2,1,51,54,83,83,0,0,0,0,0,0,NULL
PAL9192,HUM,3,2,2,50,53,0,999,87,0,0,0,120,0,NULL
PAL9192,HUM,3,2,3,49,52,0,87,86,0,0,0,120,0,NULL
PAL9192,HUM,3,2,4,47,50,0,0,85,86,0,0,117,117,NULL
PAL9192,HUM,3,2,5,49,52,0,0,86,86,0,0,118,118,NULL
PAL9192,HUM,3,3,1,53,56,0,0,90,91,0,0,117,118,NULL
PAL9192,HUM,3,3,2,49,52,0,0,86,86,0,0,118,118,NULL
PAL9192,HUM,3,3,3,49,52,0,0,86,88,0,0,117,119,NULL
PAL9192,HUM,3,3,4,50,53,0,0,87,89,0,0,117,119,NULL
PAL9192,HUM,3,3,5,56,58,0,0,93,95,0,0,119,120,NULL
PAL9192,HUM,3.1,1,1,50,53,0,0,87,87,0,0,116,116,NULL
PAL9192,HUM,3.1,1,2,51,54,0,0,88,90,0,0,116,116,NULL
PAL9192,HUM,3.1,1,3,54,57,0,999,91,0,0,0,119,0,NULL
PAL9192,HUM,3.1,1,4,53,56,0,0,90,90,0,0,116,116,NULL
PAL9192,HUM,3.1,1,5,54,57,0,999,91,0,0,0,116,0,NULL
PAL9192,HUM,4,1,1,51,54,0,0,88,89,109,109,0,0,NULL
PAL9192,HUM,4,1,2,49,52,0,0,85,87,0,0,112,114,NULL
PAL9192,HUM,4,1,3,50,53,0,0,87,88,0,91,118,0,NULL
PAL9192,HUM,4,1,4,51,54,0,63,88,0,0,0,118,0,NULL
PAL9192,HUM,4,1,5,52,55,0,77,89,0,0,0,118,0,NULL
PAL9192,HUM,4,2,1,52,55,0,0,89,90,0,0,113,113,NULL
PAL9192,HUM,4,2,2,52,55,0,63,89,0,0,0,116,0,NULL
PAL9192,HUM,4,2,3,53,56,0,0,90,93,0,0,117,118,NULL
PAL9192,HUM,4,2,4,53,56,63,63,0,0,0,0,0,0,NULL
PAL9192,HUM,4,2,5,48,52,0,0,87,88,0,0,111,112,NULL
PAL9192,HUM,5,1,1,55,58,0,0,92,94,0,0,119,120,NULL
PAL9192,HUM,5,1,2,49,52,0,0,85,86,0,0,112,113,NULL
PAL9192,HUM,5,1,3,47,50,0,0,83,84,0,0,116,116,NULL
PAL9192,HUM,5,1,4,49,52,0,0,86,87,0,0,116,116,NULL
PAL9192,HUM,5,1,5,54,57,0,0,91,92,0,111,117,0,NULL
PAL9192,HUM,5,2,1,45,48,0,0,84,84,0,0,111,111,NULL
PAL9192,HUM,5,2,2,48,51,0,0,89,90,0,0,116,117,NULL
PAL9192,HUM,5,2,3,52,55,0,0,85,86,0,0,111,113,NULL
PAL9192,HUM,5,2,4,53,56,0,0,90,90,0,0,117,117,NULL
PAL9192,HUM,5,2,5,46,49,0,74,83,0,0,0,117,0,NULL
PAL9192,HUM,5,2,6,48,51,0,0,85,85,0,0,116,116,NULL
PAL9192,HUM,5,3,1,48,51,0,0,85,86,0,0,112,112,NULL
PAL9192,HUM,5,3,2,48,51,63,66,0,0,0,0,0,0,NULL
PAL9192,HUM,5,3,3,53,56,0,64,90,0,0,0,111,0,NULL
PAL9192,HUM,5,3,4,49,52,0,0,86,87,0,0,116,118,NULL
PAL9192,HUM,5,3,5,48,51,78,78,0,0,0,0,0,0,NULL
PAL9293,HUM,2,1,1,43,46,0,0,80,81,0,0,107,107,NULL
PAL9293,HUM,2,1,2,44,47,0,0,81,82,0,0,110,110,NULL
PAL9293,HUM,2,1,3,38,41,0,0,75,77,0,0,107,107,NULL
PAL9293,HUM,2,1,4,42,45,0,0,78,79,0,0,107,107,NULL
PAL9293,HUM,2,1,5,39,42,0,0,78,79,0,0,107,107,NULL
PAL9293,HUM,2,2,1,42,45,0,0,79,80,0,0,111,111,NULL
PAL9293,HUM,2,2,2,39,0,87,0,0,0,0,0,0,0,NULL
PAL9293,HUM,2,2,3,44,47,49,0,0,81,0,0,0,111,NULL
PAL9293,HUM,2,2,4,39,42,54,0,0,76,0,0,0,107,NULL
PAL9293,HUM,2,2,5,38,41,0,0,75,76,81,81,0,0,NULL
PAL9293,HUM,2,3,1,41,0,65,0,0,0,0,0,0,0,NULL
PAL9293,HUM,2,3,2,41,44,0,0,78,79,0,0,110,110,NULL
PAL9293,HUM,2,3,3,35,38,0,89,72,0,0,0,112,0,NULL
PAL9293,HUM,2,3,4,38,41,0,0,74,74,0,0,110,110,NULL
PAL9293,HUM,2,3,5,37,40,0,80,73,0,74,0,0,0,NULL
PAL9293,HUM,2,4,1,38,41,65,65,0,0,0,0,0,0,NULL
PAL9293,HUM,2,4,2,38,0,56,0,0,0,0,0,0,0,NULL
PAL9293,HUM,2,4,3,40,43,0,0,78,79,0,0,112,112,NULL
PAL9293,HUM,2,4,4,38,41,0,0,75,78,87,87,0,0,NULL
PAL9293,HUM,2,4,5,39,42,0,65,76,0,85,0,0,0,NULL
PAL9293,HUM,2,5,1,39,42,0,0,74,75,0,0,110,110,NULL
PAL9293,HUM,2,5,2,39,42,0,0,75,76,0,0,107,107,NULL
PAL9293,HUM,2,5,3,39,42,0,0,75,76,0,0,110,110,NULL
PAL9293,HUM,2,5,4,38,41,0,0,74,75,0,0,107,107,NULL
PAL9293,HUM,2,5,5,37,40,0,0,72,74,0,0,107,107,NULL
PAL9293,HUM,2,6,1,44,47,0,0,81,82,0,93,107,0,NULL
PAL9293,HUM,2,6,2,47,50,0,0,84,85,0,0,107,0,NULL
PAL9293,HUM,2,6,3,38,41,0,0,77,79,0,0,107,0,NULL
PAL9293,HUM,2,6,4,38,41,0,0,72,75,0,0,107,0,NULL
PAL9293,HUM,2,6,5,42,45,0,0,79,79,0,0,107,0,NULL
PAL9293,HUM,2,7,1,39,42,68,68,0,0,0,0,0,0,NULL
PAL9293,HUM,2,7,2,38,41,0,0,76,78,0,0,110,110,NULL
PAL9293,HUM,2,7,3,38,41,0,0,75,76,0,0,112,112,NULL
PAL9293,HUM,2,7,4,38,41,75,75,0,0,0,0,0,0,NULL
PAL9293,HUM,2,7,5,40,43,0,0,77,79,0,0,110,110,NULL
PAL9293,HUM,2,8,1,37,40,0,0,74,75,0,0,112,112,NULL
PAL9293,HUM,2,8,2,38,42,0,0,76,77,0,0,112,112,NULL
PAL9293,HUM,2,8,3,42,45,0,0,75,75,0,0,110,110,NULL
PAL9293,HUM,2,8,4,38,41,0,0,76,78,0,0,112,112,NULL
PAL9293,HUM,2,8,5,38,41,0,0,74,75,0,0,112,112,NULL
PAL9293,HUM,2,9,1,46,49,0,83,83,83,0,0,116,0,NULL
PAL9293,HUM,2,9,2,46,49,0,0,83,83,0,0,116,116,NULL
PAL9293,HUM,2,9,3,46,49,54,54,0,0,0,0,0,0,NULL
PAL9293,HUM,2,9,4,46,49,0,0,83,83,0,0,110,110,NULL
PAL9293,HUM,2,9,5,44,47,0,81,82,0,0,0,114,0,NULL
PAL9293,HUM,2,10,1,46,49,79,79,0,0,0,0,0,0,NULL
PAL9293,HUM,2,10,2,46,49,0,81,83,0,0,0,110,0,NULL
PAL9293,HUM,2,10,3,42,45,0,0,79,81,93,0,0,110,NULL
PAL9293,HUM,2,10,4,38,41,0,0,75,77,0,0,110,110,NULL
PAL9293,HUM,2,10,5,42,45,0,0,79,79,0,0,110,110,NULL
PAL9293,HUM,2.2,1,1,46,49,0,0,84,85,0,0,112,112,NULL
PAL9293,HUM,2.2,1,2,41,44,0,0,78,79,0,0,107,107,NULL
PAL9293,HUM,2.2,1,3,45,48,0,0,82,83,0,0,114,114,NULL
PAL9293,HUM,2.2,1,4,41,44,0,0,78,79,0,0,112,112,NULL
PAL9293,HUM,2.2,1,5,39,42,0,0,76,78,0,0,112,112,NULL
PAL9293,HUM,3,1,1,39,42,0,0,78,79,0,0,110,110,NULL
PAL9293,HUM,3,1,2,42,45,0,0,79,80,0,0,112,112,NULL
PAL9293,HUM,3,1,3,38,41,0,0,74,76,0,0,110,110,NULL
PAL9293,HUM,3,1,4,43,46,0,84,80,0,0,0,110,0,NULL
PAL9293,HUM,3,1,5,39,42,0,0,76,78,0,0,107,107,NULL
PAL9293,HUM,3,2,1,44,47,0,0,78,78,0,0,112,112,NULL
