date,y
8/1/01,2387.5
9/1/01,1953.333
10/1/01,1250.833
11/1/01,1298.75
12/1/01,1225.833
1/1/02,1590
2/1/02,1775.833
3/1/02,1902.5
4/1/02,2328.333
5/1/02,2534.583
6/1/02,2740.833
7/1/02,1472.5
8/1/02,1553.333
9/1/02,1217.5
10/1/02,1165.833
11/1/02,1215.833
12/1/02,1314.167
1/1/03,1475.833
2/1/03,2084.167
3/1/03,2201.25
4/1/03,2318.333
5/1/03,1786.25
6/1/03,881.667
7/1/03,1102.5
8/1/03,1143.333
9/1/03,1252.5
10/1/03,1182.5
11/1/03,1320.833
12/1/03,1507.5
1/1/04,1485
2/1/04,1383.333
3/1/04,1658.333
4/1/04,2079.1665
5/1/04,2500
6/1/04,3617.5
7/1/04,2227.5
8/1/04,1149.167
9/1/04,1071.667
10/1/04,1208.333
11/1/04,1680.833
12/1/04,1860.833
1/1/05,1750.833
2/1/05,2053.333
3/1/05,2275
4/1/05,2496.667
5/1/05,1982.0835
6/1/05,1467.5
7/1/05,1315
8/1/05,1162.5
9/1/05,1070.833
10/1/05,1020
11/1/05,1371.667
12/1/05,1716.667
1/1/06,1652.5
2/1/06,1645
3/1/06,1354.167
4/1/06,2167.5
5/1/06,1476.667
6/1/06,2412.5
7/1/06,1077.917
8/1/06,1096.667
9/1/06,1310
10/1/06,1110.833
11/1/06,1715
12/1/06,1935.833
1/1/07,2211.667
2/1/07,2486.667
3/1/07,2948.333
4/1/07,2149.167
5/1/07,1996.333
6/1/07,1282.333
7/1/07,1332.5
8/1/07,1276.667
9/1/07,1246.667
10/1/07,656.5
11/1/07,1178.333
12/1/07,1369.167
1/1/08,1410
2/1/08,2131.667
3/1/08,1375.417
4/1/08,1215.833
5/1/08,2331.5
6/1/08,1122.5
7/1/08,1587.5
8/1/08,1268.333
9/1/08,1030
10/1/08,902.5
11/1/08,1213.333
12/1/08,1285.833
1/1/09,1630
2/1/09,1632.917
3/1/09,1990.333
4/1/09,2519
5/1/09,1961.5835
6/1/09,1404.167
7/1/09,1849.167
8/1/09,1712.5
9/1/09,1814.167
10/1/09,1415
11/1/09,1898.333
12/1/09,2012.5
1/1/10,1805.833
2/1/10,1986.667
3/1/10,1796.667
4/1/10,2291.167
5/1/10,2380.667
6/1/10,2432.167
7/1/10,1622.5
8/1/10,1200
9/1/10,1255.833
10/1/10,1125
11/1/10,1439.167
12/1/10,1439.167
1/1/11,1230.833
2/1/11,1637.5
3/1/11,2155
4/1/11,2086.45825
5/1/11,2017.9165
6/1/11,1949.37475
7/1/11,1880.833
8/1/11,1461.667
9/1/11,1463.333
10/1/11,1509.167
11/1/11,970
12/1/11,1126.667
1/1/12,1480.833
2/1/12,1557.5
3/1/12,1949.167
4/1/12,2557.333
5/1/12,1780
6/1/12,1693.333
7/1/12,1410.833
8/1/12,1245
9/1/12,1126.667
10/1/12,1087.5
11/1/12,1178.333
12/1/12,1556.667
1/1/13,1388.333
2/1/13,1521.667
3/1/13,1675.833
4/1/13,2730.5
5/1/13,1619.667
6/1/13,1149.167
7/1/13,965
8/1/13,1158.333
9/1/13,1200.833
10/1/13,1239.167
11/1/13,1231.667
12/1/13,1159.167
1/1/14,1244.167
2/1/14,1515.417
3/1/14,1706.667
4/1/14,2076.667
5/1/14,2507.833
6/1/14,3057.5
7/1/14,1225.833
8/1/14,1207.5
9/1/14,1015.833
10/1/14,1484.167
11/1/14,1453.333
12/1/14,1591.667
1/1/15,1756.667
2/1/15,1745
3/1/15,2188.25
4/1/15,940
5/1/15,2360
6/1/15,2091.667
7/1/15,1510.833
8/1/15,2075.833
9/1/15,1528.333
10/1/15,1355.833
11/1/15,1655
12/1/15,1550.833
1/1/16,1409.583
2/1/16,1011.667
3/1/16,1196.667
4/1/16,1479.167
5/1/16,1427.5
6/1/16,1476.667
7/1/16,1601.667
8/1/16,1443.333
9/1/16,1353.333
10/1/16,1064.167
11/1/16,1085
12/1/16,1287.5
1/1/17,1410.833
2/1/17,1422.5
3/1/17,2195.833
4/1/17,3901.667
5/1/17,2649.5
6/1/17,1570
7/1/17,1396.25
8/1/17,984.5
9/1/17,2662.833
10/1/17,2643.833
11/1/17,805.25
12/1/17,915.833
1/1/18,967.5
2/1/18,1246.667
3/1/18,1425.833
4/1/18,1940.833
5/1/18,2796.75
6/1/18,1404.167
7/1/18,651.583
8/1/18,1224.167
9/1/18,1075.833
10/1/18,991.667
11/1/18,1236.667
12/1/18,1425.833
1/1/19,1571.667
2/1/19,1535.833
3/1/19,1885.833
4/1/19,2349.167
5/1/19,1718.333
6/1/19,1956.667
7/1/19,1205.833
8/1/19,1171.667
9/1/19,1189.167
10/1/19,1528.333
11/1/19,1551.667
12/1/19,1774.167
