date,y
8/1/01,84.67
9/1/01,93.99
10/1/01,104.99
11/1/01,102.82
12/1/01,99.52
1/1/02,89.95
2/1/02,79.81
3/1/02,75.03
4/1/02,67.06
5/1/02,58.02
6/1/02,81.77
7/1/02,93.15
8/1/02,93.24
9/1/02,99.55
10/1/02,98.86
11/1/02,94.83
12/1/02,90.56
1/1/03,81.20
2/1/03,73.51
3/1/03,71.63
4/1/03,70.73
5/1/03,78.01
6/1/03,92.50
7/1/03,93.75
8/1/03,102.25
9/1/03,107.56
10/1/03,109.81
11/1/03,106.98
12/1/03,100.18
1/1/04,94.24
2/1/04,90.68
3/1/04,79.55
4/1/04,71.98
5/1/04,63.53
6/1/04,61.54
7/1/04,62.69
8/1/04,88.20
9/1/04,90.80
10/1/04,102.05
11/1/04,100.43
12/1/04,94.61
1/1/05,84.56
2/1/05,74.95
3/1/05,70.16
4/1/05,64.70
5/1/05,53.75
6/1/05,73.64
7/1/05,97.14
8/1/05,106.12
9/1/05,115.71
10/1/05,115.26
11/1/05,106.24
12/1/05,100.97
1/1/06,94.35
2/1/06,91.16
3/1/06,80.56
4/1/06,67.48
5/1/06,58.19
6/1/06,67.62
7/1/06,89.42
8/1/06,87.00
9/1/06,95.12
10/1/06,91.75
11/1/06,91.33
12/1/06,85.81
1/1/07,79.94
2/1/07,75.47
3/1/07,68.04
4/1/07,70.12
5/1/07,70.08
6/1/07,79.28
7/1/07,82.24
8/1/07,84.96
9/1/07,78.42
10/1/07,84.63
11/1/07,81.75
12/1/07,77.51
1/1/08,72.45
2/1/08,68.05
3/1/08,64.60
4/1/08,69.36
5/1/08,63.11
6/1/08,70.15
7/1/08,89.86
8/1/08,100.64
9/1/08,113.06
10/1/08,119.71
11/1/08,112.16
12/1/08,106.99
1/1/09,95.63
2/1/09,81.77
3/1/09,71.28
4/1/09,57.11
5/1/09,47.42
6/1/09,84.64
7/1/09,89.97
8/1/09,94.07
9/1/09,103.61
10/1/09,99.62
11/1/09,93.37
12/1/09,90.39
1/1/10,80.41
2/1/10,75.35
3/1/10,72.52
4/1/10,73.96
5/1/10,76.81
6/1/10,85.43
7/1/10,91.59
8/1/10,97.51
9/1/10,103.13
10/1/10,102.67
11/1/10,97.09
12/1/10,88.43
1/1/11,81.12
2/1/11,74.98
3/1/11,63.40
4/1/11,44.75
5/1/11,18.47
6/1/11,23.77
7/1/11,73.57
8/1/11,77.48
9/1/11,85.17
10/1/11,90.25
11/1/11,96.54
12/1/11,96.46
1/1/12,86.11
2/1/12,76.73
3/1/12,68.60
4/1/12,61.32
5/1/12,72.05
6/1/12,87.10
7/1/12,96.72
8/1/12,97.78
9/1/12,105.01
10/1/12,113.40
11/1/12,105.22
12/1/12,100.88
1/1/13,94.13
2/1/13,83.45
3/1/13,74.55
4/1/13,69.13
5/1/13,79.80
6/1/13,94.97
7/1/13,104.31
8/1/13,101.58
9/1/13,107.77
10/1/13,106.60
11/1/13,99.81
12/1/13,99.29
1/1/14,89.36
2/1/14,82.60
3/1/14,73.92
4/1/14,70.20
5/1/14,63.18
6/1/14,72.18
7/1/14,77.58
8/1/14,87.87
9/1/14,92.44
10/1/14,94.35
11/1/14,93.71
12/1/14,88.76
1/1/15,80.52
2/1/15,72.83
3/1/15,67.75
4/1/15,59.77
5/1/15,65.05
6/1/15,63.41
7/1/15,68.78
8/1/15,70.73
9/1/15,75.82
10/1/15,83.15
11/1/15,91.13
12/1/15,97.83
1/1/16,102.04
2/1/16,105.59
3/1/16,101.54
4/1/16,97.24
5/1/16,97.28
6/1/16,93.67
7/1/16,94.47
8/1/16,96.42
9/1/16,106.98
10/1/16,107.75
11/1/16,102.95
12/1/16,95.54
1/1/17,84.58
2/1/17,75.63
3/1/17,67.25
4/1/17,59.43
5/1/17,57.41
6/1/17,73.53
7/1/17,97.87
8/1/17,111.27
9/1/17,126.11
10/1/17,132.98
11/1/17,130.55
12/1/17,119.46
1/1/18,108.45
2/1/18,99.18
3/1/18,87.67
4/1/18,74.58
5/1/18,70.78
6/1/18,96.58
7/1/18,106.38
8/1/18,107.25
9/1/18,117.69
10/1/18,110.37
11/1/18,99.58
12/1/18,89.27
1/1/19,81.15
2/1/19,79.19
3/1/19,73.42
4/1/19,67.11
5/1/19,66.06
6/1/19,72.94
7/1/19,88.38
8/1/19,101.10
9/1/19,102.82
10/1/19,101.32
11/1/19,98.11
12/1/19,91.97
